system,algorithm,failure_reason,count,share
IEEE33,DE,NONE,10,1.0
IEEE33,DE,VOLTAGE_VIOLATION,0,0.0
IEEE33,GA,NONE,10,1.0
IEEE33,GA,VOLTAGE_VIOLATION,0,0.0
IEEE33,PSO,NONE,10,1.0
IEEE33,PSO,VOLTAGE_VIOLATION,0,0.0
IEEE33,GA-PSO,NONE,10,1.0
IEEE33,GA-PSO,VOLTAGE_VIOLATION,0,0.0
IEEE69,DE,NONE,10,1.0
IEEE69,DE,VOLTAGE_VIOLATION,0,0.0
IEEE69,GA,NONE,1,0.1
IEEE69,GA,VOLTAGE_VIOLATION,9,0.9
IEEE69,PSO,NONE,9,0.9
IEEE69,PSO,VOLTAGE_VIOLATION,1,0.1
IEEE69,GA-PSO,NONE,4,0.4
IEEE69,GA-PSO,VOLTAGE_VIOLATION,6,0.6
BaituF8-redacted,DE,NONE,10,1.0
BaituF8-redacted,DE,VOLTAGE_VIOLATION,0,0.0
BaituF8-redacted,GA,NONE,8,0.8
BaituF8-redacted,GA,VOLTAGE_VIOLATION,2,0.2
BaituF8-redacted,PSO,NONE,10,1.0
BaituF8-redacted,PSO,VOLTAGE_VIOLATION,0,0.0
BaituF8-redacted,GA-PSO,NONE,7,0.7
BaituF8-redacted,GA-PSO,VOLTAGE_VIOLATION,3,0.3

